"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 12- 29","2,974.93","2,950.84","2,975.03","2,950.02","29.07B","0.68%"
"2023- 12- 28","2,954.70","2,913.11","2,961.65","2,909.39","33.92B","1.38%"
"2023- 12- 27","2,914.61","2,900.15","2,917.96","2,890.17","24.79B","0.54%"
"2023- 12- 26","2,898.88","2,917.97","2,917.97","2,892.84","22.81B","-0.68%"
"2023- 12- 25","2,918.81","2,909.88","2,920.63","2,903.99","22.98B","0.14%"
"2023- 12- 22","2,914.78","2,919.29","2,935.70","2,906.51","29.66B","-0.13%"
"2023- 12- 21","2,918.71","2,892.02","2,924.26","2,882.02","28.25B","0.57%"
"2023- 12- 20","2,902.11","2,932.12","2,937.10","2,902.04","26.56B","-1.03%"
"2023- 12- 19","2,932.39","2,928.76","2,940.50","2,914.13","26.59B","0.05%"
"2023- 12- 18","2,930.80","2,936.58","2,951.15","2,924.33","29.31B","-0.40%"
"2023- 12- 15","2,942.56","2,966.30","2,976.31","2,940.03","28.93B","-0.56%"
"2023- 12- 14","2,958.99","2,979.70","2,986.18","2,958.07","27.15B","-0.33%"
"2023- 12- 13","2,968.76","2,997.34","2,997.34","2,968.76","28.28B","-1.15%"
"2023- 12- 12","3,003.44","2,986.33","3,003.75","2,980.45","28.76B","0.40%"
"2023- 12- 11","2,991.44","2,956.29","2,995.67","2,930.42","36.02B","0.74%"
"2023- 12- 08","2,969.56","2,965.39","2,980.83","2,962.33","36.91B","0.11%"
"2023- 12- 07","2,966.21","2,965.65","2,976.01","2,949.14","29.62B","-0.09%"
"2023- 12- 06","2,968.93","2,966.95","2,985.31","2,959.60","29.41B","-0.11%"
"2023- 12- 05","2,972.30","3,017.01","3,017.01","2,972.30","29.39B","-1.67%"
"2023- 12- 04","3,022.91","3,033.30","3,038.98","3,022.35","28.82B","-0.29%"
"2023- 12- 01","3,031.64","3,027.35","3,035.76","3,010.23","28.61B","0.06%"
"2023- 11- 30","3,029.67","3,021.10","3,030.91","3,013.77","28.29B","0.26%"
"2023- 11- 29","3,021.69","3,038.46","3,038.98","3,017.66","27.80B","-0.56%"
"2023- 11- 28","3,038.55","3,028.60","3,039.69","3,020.23","26.89B","0.23%"
"2023- 11- 27","3,031.70","3,038.19","3,038.36","3,015.01","31.05B","-0.30%"
"2023- 11- 24","3,040.97","3,060.33","3,060.33","3,037.20","28.78B","-0.68%"
"2023- 11- 23","3,061.86","3,041.68","3,062.87","3,034.30","27.66B","0.60%"
"2023- 11- 22","3,043.61","3,060.50","3,067.96","3,043.61","28.91B","-0.79%"
"2023- 11- 21","3,067.93","3,074.83","3,089.77","3,063.34","33.07B","-0.01%"
"2023- 11- 20","3,068.32","3,056.93","3,072.51","3,043.51","28.76B","0.46%"
"2023- 11- 17","3,054.37","3,043.62","3,055.86","3,033.75","26.76B","0.11%"
"2023- 11- 16","3,050.93","3,066.86","3,071.45","3,050.93","27.11B","-0.71%"
"2023- 11- 15","3,072.83","3,077.03","3,080.13","3,064.35","30.42B","0.55%"
"2023- 11- 14","3,056.07","3,046.82","3,059.53","3,044.43","29.48B","0.31%"
"2023- 11- 13","3,046.53","3,044.03","3,048.62","3,028.17","29.04B","0.25%"
"2023- 11- 10","3,038.97","3,043.56","3,044.00","3,027.09","28.55B","-0.47%"
"2023- 11- 09","3,053.28","3,047.65","3,063.47","3,045.83","31.56B","0.03%"
"2023- 11- 08","3,052.37","3,051.15","3,062.99","3,037.29","33.57B","-0.16%"
"2023- 11- 07","3,057.27","3,052.92","3,064.58","3,042.47","32.69B","-0.04%"
"2023- 11- 06","3,058.41","3,047.13","3,058.99","3,037.69","37.30B","0.91%"
"2023- 11- 03","3,030.80","3,012.47","3,040.98","3,012.47","26.85B","0.71%"
"2023- 11- 02","3,009.41","3,028.66","3,038.64","3,009.12","26.88B","-0.45%"
"2023- 11- 01","3,023.08","3,038.18","3,038.33","3,013.93","28.01B","0.14%"
"2023- 10- 31","3,018.77","3,019.65","3,023.00","3,006.61","31.99B","-0.09%"
"2023- 10- 30","3,021.55","3,009.61","3,028.26","3,002.35","36.06B","0.12%"
"2023- 10- 27","3,017.78","2,978.40","3,029.21","2,974.88","32.18B","0.99%"
"2023- 10- 26","2,988.30","2,960.10","2,990.33","2,956.01","29.18B","0.48%"
"2023- 10- 25","2,974.11","2,986.41","2,993.30","2,972.42","33.24B","0.40%"
"2023- 10- 24","2,962.24","2,944.31","2,964.76","2,929.09","31.10B","0.78%"
"2023- 10- 23","2,939.29","2,969.79","2,973.66","2,923.51","27.89B","-1.47%"
"2023- 10- 20","2,983.06","2,995.36","3,006.27","2,977.17","26.71B","-0.74%"
"2023- 10- 19","3,005.39","3,043.20","3,043.20","3,004.77","30.40B","-1.74%"
"2023- 10- 18","3,058.71","3,076.58","3,076.58","3,057.06","26.86B","-0.80%"
"2023- 10- 17","3,083.50","3,076.43","3,084.07","3,064.89","25.90B","0.32%"
"2023- 10- 16","3,073.81","3,091.06","3,091.13","3,063.69","26.39B","-0.46%"
"2023- 10- 13","3,088.10","3,092.00","3,094.92","3,080.55","25.51B","-0.64%"
"2023- 10- 12","3,107.90","3,101.71","3,109.99","3,092.18","27.48B","0.94%"
"2023- 10- 11","3,078.96","3,085.70","3,095.66","3,071.94","25.99B","0.12%"
"2023- 10- 10","3,075.24","3,104.36","3,109.98","3,073.19","25.53B","-0.70%"
"2023- 10- 09","3,096.92","3,100.00","3,103.36","3,072.64","26.44B","-0.44%"
"2023- 09- 28","3,110.48","3,117.75","3,121.84","3,105.94","23.63B","0.10%"
"2023- 09- 27","3,107.32","3,104.04","3,125.45","3,103.84","24.05B","0.16%"
"2023- 09- 26","3,102.27","3,114.02","3,120.29","3,102.27","22.26B","-0.43%"
"2023- 09- 25","3,115.61","3,131.21","3,131.21","3,112.15","25.81B","-0.54%"
"2023- 09- 22","3,132.43","3,084.76","3,132.56","3,078.80","28.60B","1.55%"
"2023- 09- 21","3,084.70","3,103.18","3,113.49","3,084.70","22.87B","-0.77%"
"2023- 09- 20","3,108.57","3,118.67","3,122.13","3,108.16","22.81B","-0.52%"
"2023- 09- 19","3,124.96","3,123.99","3,131.13","3,113.53","25.37B","-0.03%"
"2023- 09- 18","3,125.93","3,110.44","3,128.70","3,098.50","25.94B","0.26%"
"2023- 09- 15","3,117.74","3,133.59","3,141.96","3,107.45","29.20B","-0.28%"
"2023- 09- 14","3,126.55","3,124.85","3,135.02","3,111.86","26.40B","0.11%"
"2023- 09- 13","3,123.07","3,137.77","3,143.76","3,106.97","24.97B","-0.45%"
"2023- 09- 12","3,137.06","3,140.34","3,147.51","3,134.32","23.47B","-0.18%"
"2023- 09- 11","3,142.78","3,119.61","3,155.10","3,113.82","29.04B","0.84%"
"2023- 09- 08","3,116.72","3,114.23","3,126.04","3,104.67","22.81B","-0.18%"
"2023- 09- 07","3,122.35","3,152.20","3,152.27","3,120.82","26.93B","-1.13%"
"2023- 09- 06","3,158.08","3,147.14","3,162.15","3,136.90","26.70B","0.12%"
"2023- 09- 05","3,154.37","3,169.74","3,169.74","3,150.08","29.41B","-0.71%"
"2023- 09- 04","3,177.06","3,145.94","3,177.06","3,143.38","36.64B","1.40%"
"2023- 09- 01","3,133.25","3,126.02","3,143.85","3,123.19","29.23B","0.43%"
"2023- 08- 31","3,119.88","3,134.55","3,139.98","3,113.95","31.34B","-0.55%"
"2023- 08- 30","3,137.14","3,144.41","3,153.69","3,126.90","34.75B","0.04%"
"2023- 08- 29","3,135.89","3,091.94","3,145.76","3,090.44","39.89B","1.20%"
"2023- 08- 28","3,098.64","3,219.04","3,219.04","3,089.12","48.56B","1.13%"
"2023- 08- 25","3,064.07","3,068.61","3,085.05","3,053.04","29.33B","-0.59%"
"2023- 08- 24","3,082.24","3,085.91","3,106.18","3,072.95","30.00B","0.12%"
"2023- 08- 23","3,078.40","3,116.27","3,116.38","3,077.61","27.22B","-1.34%"
"2023- 08- 22","3,120.33","3,103.78","3,126.78","3,074.53","30.93B","0.88%"
"2023- 08- 21","3,092.98","3,125.99","3,134.96","3,092.98","26.58B","-1.24%"
"2023- 08- 18","3,131.95","3,165.10","3,179.12","3,131.95","29.44B","-1.00%"
"2023- 08- 17","3,163.74","3,137.35","3,167.45","3,123.25","29.47B","0.43%"
"2023- 08- 16","3,150.13","3,164.70","3,176.63","3,149.72","28.17B","-0.82%"
"2023- 08- 15","3,176.18","3,180.56","3,186.23","3,147.35","27.33B","-0.07%"
"2023- 08- 14","3,178.43","3,159.71","3,180.51","3,141.66","29.98B","-0.34%"
"2023- 08- 11","3,189.25","3,254.48","3,254.48","3,189.25","33.01B","-2.01%"
"2023- 08- 10","3,254.56","3,242.21","3,257.03","3,234.12","28.74B","0.31%"
"2023- 08- 09","3,244.49","3,251.15","3,257.08","3,240.29","27.12B","-0.49%"
"2023- 08- 08","3,260.62","3,260.72","3,274.52","3,246.67","31.65B","-0.25%"
"2023- 08- 07","3,268.83","3,276.78","3,276.78","3,258.54","36.03B","-0.59%"
"2023- 08- 04","3,288.08","3,296.09","3,315.05","3,281.73","47.09B","0.23%"
"2023- 08- 03","3,280.46","3,254.57","3,280.86","3,247.27","38.47B","0.58%"
"2023- 08- 02","3,261.69","3,281.86","3,290.82","3,252.30","40.53B","-0.89%"
"2023- 08- 01","3,290.95","3,288.76","3,305.34","3,279.57","45.99B","0.00%"
"2023- 07- 31","3,291.04","3,287.21","3,322.13","3,281.01","45.90B","0.46%"
"2023- 07- 28","3,275.93","3,206.74","3,280.28","3,200.99","41.11B","1.84%"
"2023- 07- 27","3,216.67","3,225.48","3,245.60","3,210.47","32.71B","-0.20%"
"2023- 07- 26","3,223.03","3,228.09","3,229.89","3,212.88","31.72B","-0.26%"
"2023- 07- 25","3,231.52","3,201.46","3,231.75","3,201.46","34.86B","2.13%"
"2023- 07- 24","3,164.16","3,157.47","3,178.73","3,151.13","21.66B","-0.11%"
"2023- 07- 21","3,167.75","3,163.42","3,185.64","3,157.33","22.53B","-0.06%"
"2023- 07- 20","3,169.52","3,201.91","3,209.06","3,165.67","23.89B","-0.92%"
"2023- 07- 19","3,198.84","3,195.01","3,204.36","3,181.56","21.74B","0.03%"
"2023- 07- 18","3,197.82","3,206.79","3,210.25","3,190.00","23.50B","-0.37%"
"2023- 07- 17","3,209.63","3,219.02","3,219.02","3,195.89","25.02B","-0.87%"
"2023- 07- 14","3,237.70","3,240.97","3,248.39","3,234.00","27.33B","0.04%"
"2023- 07- 13","3,236.48","3,202.70","3,238.47","3,202.70","27.66B","1.26%"
"2023- 07- 12","3,196.13","3,220.38","3,224.33","3,193.44","27.14B","-0.78%"
"2023- 07- 11","3,221.37","3,211.12","3,221.68","3,200.38","22.76B","0.55%"
"2023- 07- 10","3,203.70","3,208.73","3,216.53","3,192.66","23.66B","0.22%"
"2023- 07- 07","3,196.61","3,197.47","3,212.05","3,189.21","25.57B","-0.28%"
"2023- 07- 06","3,205.57","3,215.86","3,229.48","3,199.72","24.61B","-0.54%"
"2023- 07- 05","3,222.95","3,240.05","3,241.84","3,218.60","26.40B","-0.69%"
"2023- 07- 04","3,245.35","3,241.23","3,246.96","3,233.99","27.92B","0.04%"
"2023- 07- 03","3,243.98","3,209.16","3,246.86","3,209.16","31.24B","1.31%"
"2023- 06- 30","3,202.06","3,178.92","3,212.99","3,177.99","26.54B","0.62%"
"2023- 06- 29","3,182.38","3,185.42","3,196.50","3,179.53","25.03B","-0.22%"
"2023- 06- 28","3,189.38","3,183.49","3,192.66","3,157.12","27.62B","0.00%"
"2023- 06- 27","3,189.44","3,153.31","3,194.41","3,148.27","28.76B","1.23%"
"2023- 06- 26","3,150.62","3,177.23","3,181.08","3,144.25","30.81B","-1.48%"
"2023- 06- 21","3,197.90","3,230.11","3,236.36","3,197.90","29.44B","-1.31%"
"2023- 06- 20","3,240.36","3,252.54","3,252.84","3,237.79","29.83B","-0.47%"
"2023- 06- 19","3,255.81","3,271.16","3,271.16","3,251.78","32.78B","-0.54%"
"2023- 06- 16","3,273.33","3,256.30","3,276.55","3,255.50","32.63B","0.63%"
"2023- 06- 15","3,252.98","3,230.45","3,252.98","3,229.15","31.33B","0.74%"
"2023- 06- 14","3,228.99","3,238.12","3,248.46","3,226.77","30.35B","-0.14%"
"2023- 06- 13","3,233.67","3,223.90","3,235.09","3,215.50","28.06B","0.15%"
"2023- 06- 12","3,228.83","3,225.30","3,239.44","3,210.71","31.38B","-0.08%"
"2023- 06- 09","3,231.41","3,213.03","3,231.41","3,206.10","31.42B","0.55%"
"2023- 06- 08","3,213.59","3,194.83","3,225.53","3,180.54","29.35B","0.49%"
"2023- 06- 07","3,197.76","3,197.47","3,210.33","3,188.01","25.81B","0.08%"
"2023- 06- 06","3,195.34","3,228.41","3,247.35","3,189.27","30.83B","-1.15%"
"2023- 06- 05","3,232.44","3,231.81","3,244.18","3,221.63","27.81B","0.07%"
"2023- 06- 02","3,230.07","3,212.45","3,233.99","3,211.74","29.47B","0.79%"
"2023- 06- 01","3,204.63","3,196.15","3,225.09","3,189.52","31.23B","0.00%"
"2023- 05- 31","3,204.56","3,214.66","3,216.36","3,190.27","29.46B","-0.61%"
"2023- 05- 30","3,224.21","3,214.67","3,230.63","3,186.63","30.35B","0.09%"
"2023- 05- 29","3,221.45","3,219.76","3,230.97","3,208.96","29.74B","0.28%"
"2023- 05- 26","3,212.50","3,198.88","3,220.77","3,179.82","26.17B","0.35%"
"2023- 05- 25","3,201.26","3,197.36","3,207.02","3,168.57","28.36B","-0.11%"
"2023- 05- 24","3,204.75","3,237.70","3,237.70","3,204.38","28.87B","-1.28%"
"2023- 05- 23","3,246.24","3,294.79","3,298.23","3,246.24","27.53B","-1.52%"
"2023- 05- 22","3,296.47","3,278.60","3,308.53","3,276.54","27.39B","0.39%"
"2023- 05- 19","3,283.54","3,288.89","3,302.34","3,268.22","28.54B","-0.42%"
"2023- 05- 18","3,297.32","3,288.41","3,313.86","3,284.17","31.00B","0.40%"
"2023- 05- 17","3,284.23","3,281.97","3,298.52","3,269.89","28.57B","-0.21%"
"2023- 05- 16","3,290.99","3,310.16","3,317.90","3,282.49","32.25B","-0.60%"
"2023- 05- 15","3,310.74","3,269.88","3,310.74","3,235.87","38.80B","1.17%"
"2023- 05- 12","3,272.36","3,304.46","3,319.13","3,271.43","34.73B","-1.12%"
"2023- 05- 11","3,309.55","3,323.66","3,333.25","3,307.29","35.43B","-0.29%"
"2023- 05- 10","3,319.15","3,347.70","3,349.72","3,305.25","45.17B","-1.15%"
"2023- 05- 09","3,357.67","3,402.39","3,418.95","3,356.12","57.30B","-1.10%"
"2023- 05- 08","3,395.00","3,340.99","3,400.18","3,340.99","53.41B","1.81%"
"2023- 05- 05","3,334.50","3,350.65","3,364.14","3,321.19","43.65B","-0.48%"
"2023- 05- 04","3,350.46","3,306.48","3,352.75","3,302.03","48.34B","0.82%"
"2023- 04- 28","3,323.27","3,283.12","3,324.88","3,283.12","40.16B","1.14%"
"2023- 04- 27","3,285.88","3,256.23","3,299.30","3,253.11","34.16B","0.67%"
"2023- 04- 26","3,264.10","3,255.22","3,277.98","3,239.99","35.79B","-0.02%"
"2023- 04- 25","3,264.87","3,276.40","3,288.57","3,229.45","38.09B","-0.32%"
"2023- 04- 24","3,275.41","3,300.81","3,303.09","3,264.93","35.43B","-0.78%"
"2023- 04- 21","3,301.26","3,364.00","3,367.61","3,301.26","38.74B","-1.95%"
"2023- 04- 20","3,367.03","3,367.05","3,371.37","3,344.02","35.04B","-0.09%"
"2023- 04- 19","3,370.13","3,391.35","3,394.96","3,364.64","34.61B","-0.68%"
"2023- 04- 18","3,393.33","3,379.23","3,396.17","3,375.78","34.84B","0.23%"
"2023- 04- 17","3,385.61","3,337.06","3,385.61","3,336.39","40.28B","1.42%"
"2023- 04- 14","3,338.15","3,326.37","3,340.08","3,316.81","33.83B","0.60%"
"2023- 04- 13","3,318.36","3,321.27","3,334.47","3,309.25","34.79B","-0.27%"
"2023- 04- 12","3,327.18","3,316.86","3,330.71","3,315.40","34.30B","0.41%"
"2023- 04- 11","3,313.57","3,317.08","3,317.45","3,298.25","32.06B","-0.05%"
"2023- 04- 10","3,315.36","3,331.51","3,332.72","3,309.92","34.08B","-0.37%"
"2023- 04- 07","3,327.65","3,312.48","3,328.85","3,308.06","28.30B","0.45%"
"2023- 04- 06","3,312.63","3,302.75","3,314.53","3,296.05","32.72B","0.00%"
"2023- 04- 04","3,312.56","3,297.18","3,312.56","3,290.99","38.59B","0.49%"
"2023- 04- 03","3,296.40","3,277.34","3,299.73","3,276.42","35.77B","0.72%"
"2023- 03- 31","3,272.86","3,263.41","3,278.42","3,260.04","28.36B","0.36%"
"2023- 03- 30","3,261.25","3,243.07","3,263.74","3,220.98","29.99B","0.65%"
"2023- 03- 29","3,240.06","3,253.62","3,254.56","3,229.58","29.69B","-0.16%"
"2023- 03- 28","3,245.38","3,256.60","3,264.10","3,241.74","29.57B","-0.19%"
"2023- 03- 27","3,251.40","3,261.82","3,261.82","3,229.70","33.79B","-0.44%"
"2023- 03- 24","3,265.65","3,282.74","3,282.74","3,260.84","32.45B","-0.64%"
"2023- 03- 23","3,286.65","3,258.78","3,286.65","3,252.99","30.61B","0.64%"
"2023- 03- 22","3,265.75","3,263.41","3,279.39","3,255.74","29.08B","0.31%"
"2023- 03- 21","3,255.65","3,240.84","3,256.00","3,237.89","30.18B","0.64%"
"2023- 03- 20","3,234.91","3,253.93","3,267.99","3,231.65","39.25B","-0.48%"
"2023- 03- 17","3,250.55","3,245.26","3,279.92","3,240.16","34.30B","0.73%"
"2023- 03- 16","3,226.89","3,244.47","3,257.43","3,224.72","32.74B","-1.12%"
"2023- 03- 15","3,263.31","3,261.03","3,273.12","3,256.86","30.52B","0.55%"
"2023- 03- 14","3,245.31","3,261.92","3,262.00","3,216.99","31.99B","-0.72%"
"2023- 03- 13","3,268.70","3,228.12","3,268.70","3,228.12","29.49B","1.20%"
"2023- 03- 10","3,230.08","3,255.51","3,262.15","3,229.50","28.11B","-1.40%"
"2023- 03- 09","3,276.09","3,285.94","3,289.06","3,260.00","26.40B","-0.22%"
"2023- 03- 08","3,283.25","3,271.88","3,283.25","3,263.69","26.04B","-0.06%"
"2023- 03- 07","3,285.10","3,320.21","3,342.86","3,284.41","39.00B","-1.11%"
"2023- 03- 06","3,322.03","3,332.02","3,333.06","3,308.73","34.05B","-0.19%"
"2023- 03- 03","3,328.39","3,314.77","3,330.60","3,302.62","34.40B","0.54%"
"2023- 03- 02","3,310.65","3,308.01","3,320.74","3,306.46","32.85B","-0.05%"
"2023- 03- 01","3,312.35","3,279.14","3,315.16","3,272.04","31.84B","1.00%"
"2023- 02- 28","3,279.61","3,265.74","3,280.42","3,246.14","25.16B","0.66%"
"2023- 02- 27","3,258.03","3,257.00","3,276.58","3,251.72","24.29B","-0.28%"
"2023- 02- 24","3,267.16","3,287.26","3,288.39","3,253.97","23.42B","-0.62%"
"2023- 02- 23","3,287.48","3,293.52","3,307.44","3,275.36","26.23B","-0.11%"
"2023- 02- 22","3,291.15","3,292.05","3,307.03","3,286.72","25.54B","-0.47%"
"2023- 02- 21","3,306.52","3,291.63","3,308.79","3,282.44","32.44B","0.49%"
"2023- 02- 20","3,290.34","3,230.47","3,291.04","3,225.84","32.50B","2.06%"
"2023- 02- 17","3,224.02","3,244.73","3,262.47","3,223.26","27.85B","-0.77%"
"2023- 02- 16","3,249.03","3,281.74","3,308.83","3,231.34","38.09B","-0.96%"
"2023- 02- 15","3,280.49","3,294.01","3,296.20","3,274.55","26.99B","-0.39%"
"2023- 02- 14","3,293.28","3,288.97","3,293.73","3,279.19","27.10B","0.28%"
"2023- 02- 13","3,284.16","3,256.99","3,285.09","3,252.63","29.72B","0.72%"
"2023- 02- 10","3,260.67","3,266.44","3,269.99","3,247.23","26.06B","-0.30%"
"2023- 02- 09","3,270.38","3,227.73","3,270.38","3,225.77","25.48B","1.18%"
"2023- 02- 08","3,232.11","3,251.50","3,257.11","3,230.44","23.45B","-0.49%"
"2023- 02- 07","3,248.09","3,245.23","3,250.03","3,233.83","25.09B","0.29%"
"2023- 02- 06","3,238.70","3,244.70","3,250.35","3,226.21","26.71B","-0.76%"
"2023- 02- 03","3,263.41","3,275.66","3,275.66","3,235.35","29.33B","-0.68%"
"2023- 02- 02","3,285.67","3,291.78","3,295.76","3,272.41","33.34B","0.02%"
"2023- 02- 01","3,284.92","3,262.20","3,284.92","3,245.41","33.95B","0.90%"
"2023- 01- 31","3,255.67","3,266.14","3,277.25","3,252.01","30.02B","-0.42%"
"2023- 01- 30","3,269.32","3,308.87","3,310.49","3,266.76","35.33B","0.14%"
"2023- 01- 20","3,264.81","3,247.20","3,267.06","3,247.20","27.32B","0.76%"
"2023- 01- 19","3,240.28","3,221.52","3,240.28","3,210.38","22.65B","0.49%"
"2023- 01- 18","3,224.41","3,227.59","3,234.82","3,220.37","21.21B","0.00%"
"2023- 01- 17","3,224.24","3,229.44","3,231.26","3,211.76","22.66B","-0.10%"
"2023- 01- 16","3,227.59","3,198.52","3,251.37","3,197.32","30.67B","1.01%"
"2023- 01- 13","3,195.31","3,170.35","3,195.31","3,167.51","22.02B","1.01%"
"2023- 01- 12","3,163.45","3,167.27","3,171.59","3,153.40","21.67B","0.05%"
"2023- 01- 11","3,161.84","3,172.38","3,184.76","3,160.89","23.77B","-0.24%"
"2023- 01- 10","3,169.51","3,178.02","3,178.16","3,165.14","23.30B","-0.21%"
"2023- 01- 09","3,176.08","3,169.37","3,183.58","3,165.43","25.81B","0.58%"
"2023- 01- 06","3,157.64","3,155.07","3,170.74","3,151.84","25.74B","0.08%"
"2023- 01- 05","3,155.22","3,132.76","3,159.43","3,130.23","25.70B","1.01%"
"2023- 01- 04","3,123.52","3,117.57","3,129.09","3,109.45","27.33B","0.22%"
"2023- 01- 03","3,116.51","3,087.51","3,119.86","3,073.05","28.14B","0.88%"