COMPANY_NAME,BASE_DATE,STOCK_PRICE
disney,2023-12-29,90.29
disney,2023-12-28,90.4
disney,2023-12-27,90.38
disney,2023-12-26,90.95
disney,2023-12-22,91.02
disney,2023-12-21,92.02
disney,2023-12-20,91.27
disney,2023-12-19,93.93
disney,2023-12-18,92.86
disney,2023-12-15,93.46
disney,2023-12-14,93.94
disney,2023-12-13,92.83
disney,2023-12-12,91.07
disney,2023-12-11,92.2
disney,2023-12-08,92.82
disney,2023-12-07,92.35
disney,2023-12-06,91.5
disney,2023-12-05,90.79
disney,2023-12-04,92.01
disney,2023-12-01,92.58
disney,2023-11-30,92.69
disney,2023-11-29,92.5
disney,2023-11-28,92.5
disney,2023-11-27,95.17
disney,2023-11-24,96.06
disney,2023-11-22,95.07
disney,2023-11-21,94.45
disney,2023-11-20,95.03
disney,2023-11-17,94.15
disney,2023-11-16,94.51
disney,2023-11-15,93.93
disney,2023-11-14,91.07
disney,2023-11-13,89.44
disney,2023-11-10,88.27
disney,2023-11-09,90.34
disney,2023-11-08,84.5
disney,2023-11-07,84.59
disney,2023-11-06,84.02
disney,2023-11-03,85.07
disney,2023-11-02,83.29
disney,2023-11-01,81.07
disney,2023-10-31,81.59
disney,2023-10-30,80.68
disney,2023-10-27,79.33
disney,2023-10-26,79.78
disney,2023-10-25,80.59
disney,2023-10-24,82.56
disney,2023-10-23,83.1
disney,2023-10-20,82.65
disney,2023-10-19,83.25
disney,2023-10-18,84.68
disney,2023-10-17,86.2
disney,2023-10-16,85.71
disney,2023-10-13,84.35
disney,2023-10-12,84.35
disney,2023-10-11,84.85
disney,2023-10-10,84.99
disney,2023-10-09,84.7
disney,2023-10-06,82.94
disney,2023-10-05,80.81
disney,2023-10-04,79.32
disney,2023-10-03,79.54
disney,2023-10-02,81.67
disney,2023-09-29,81.05
disney,2023-09-28,80.13
disney,2023-09-27,79.9
disney,2023-09-26,80.05
disney,2023-09-25,81.01
disney,2023-09-22,81.25
disney,2023-09-21,82.73
disney,2023-09-20,82.56
disney,2023-09-19,81.94
disney,2023-09-18,85.02
disney,2023-09-15,85.58
disney,2023-09-14,84.48
disney,2023-09-13,83.48
disney,2023-09-12,83.68
disney,2023-09-11,82.52
disney,2023-09-08,81.58
disney,2023-09-07,80.57
disney,2023-09-06,80.98
disney,2023-09-05,81.19
disney,2023-09-01,81.64
disney,2023-08-31,83.68
disney,2023-08-30,84.28
disney,2023-08-29,84.4
disney,2023-08-28,84.16
disney,2023-08-25,83.36
disney,2023-08-24,82.47
disney,2023-08-23,85.83
disney,2023-08-22,85.79
disney,2023-08-21,85.88
disney,2023-08-18,85.96
disney,2023-08-17,85.92
disney,2023-08-16,86.35
disney,2023-08-15,87.06
disney,2023-08-14,88.81
disney,2023-08-11,89.02
disney,2023-08-10,91.76
disney,2023-08-09,87.49
disney,2023-08-08,88.13
disney,2023-08-07,86.83
disney,2023-08-04,86.3
disney,2023-08-03,85.49
disney,2023-08-02,86.3
disney,2023-08-01,89.03
disney,2023-07-31,88.89
disney,2023-07-28,86.13
disney,2023-07-27,85.36
disney,2023-07-26,85.86
disney,2023-07-25,85.63
disney,2023-07-24,86.6
disney,2023-07-21,87.18
disney,2023-07-20,86.21
disney,2023-07-19,87.04
disney,2023-07-18,85.95
disney,2023-07-17,85.56
disney,2023-07-14,88.62
disney,2023-07-13,90.47
disney,2023-07-12,90.15
disney,2023-07-11,89.49
disney,2023-07-10,88.1
disney,2023-07-07,88.64
disney,2023-07-06,88.74
disney,2023-07-05,89.79
disney,2023-07-03,90.5
disney,2023-06-30,89.28
disney,2023-06-29,88.95
disney,2023-06-28,88.83
disney,2023-06-27,89.06
disney,2023-06-26,88.7
disney,2023-06-23,88.1
disney,2023-06-22,88.49
disney,2023-06-21,88.64
disney,2023-06-20,89.75
disney,2023-06-16,91.32
disney,2023-06-15,92.94
disney,2023-06-14,92.45
disney,2023-06-13,93.85
disney,2023-06-12,93.14
disney,2023-06-09,91.93
disney,2023-06-08,92.53
disney,2023-06-07,92.52
disney,2023-06-06,92.16
disney,2023-06-05,91.0
disney,2023-06-02,90.77
disney,2023-06-01,88.59
disney,2023-05-31,87.96
disney,2023-05-30,87.82
disney,2023-05-26,88.29
disney,2023-05-25,88.14
disney,2023-05-24,89.07
disney,2023-05-23,89.82
disney,2023-05-22,91.82
disney,2023-05-19,91.35
disney,2023-05-18,93.76
disney,2023-05-17,92.77
disney,2023-05-16,90.98
disney,2023-05-15,92.86
disney,2023-05-12,91.99
disney,2023-05-11,92.31
disney,2023-05-10,101.14
disney,2023-05-09,102.18
disney,2023-05-08,102.97
disney,2023-05-05,100.52
disney,2023-05-04,97.45
disney,2023-05-03,100.86
disney,2023-05-02,100.6
disney,2023-05-01,102.21
disney,2023-04-28,102.5
disney,2023-04-27,99.93
disney,2023-04-26,96.61
disney,2023-04-25,98.01
disney,2023-04-24,99.68
disney,2023-04-21,99.57
disney,2023-04-20,98.07
disney,2023-04-19,98.75
disney,2023-04-18,100.93
disney,2023-04-17,100.3
disney,2023-04-14,99.9
disney,2023-04-13,100.84
disney,2023-04-12,97.94
disney,2023-04-11,100.42
disney,2023-04-10,100.81
disney,2023-04-06,99.97
disney,2023-04-05,99.91
disney,2023-04-04,99.57
disney,2023-04-03,99.76
disney,2023-03-31,100.13
disney,2023-03-30,98.1
disney,2023-03-29,96.87
disney,2023-03-28,94.82
disney,2023-03-27,95.62
disney,2023-03-24,94.08
disney,2023-03-23,95.83
disney,2023-03-22,94.9
disney,2023-03-21,96.54
disney,2023-03-20,94.22
disney,2023-03-17,93.2
disney,2023-03-16,94.29
disney,2023-03-15,93.1
disney,2023-03-14,93.36
disney,2023-03-13,92.6
disney,2023-03-10,93.57
disney,2023-03-09,96.14
disney,2023-03-08,99.3
disney,2023-03-07,99.06
disney,2023-03-06,100.66
disney,2023-03-03,101.14
disney,2023-03-02,98.92
disney,2023-03-01,98.54
disney,2023-02-28,99.61
disney,2023-02-27,100.45
disney,2023-02-24,100.3
disney,2023-02-23,101.73
disney,2023-02-22,101.68
disney,2023-02-21,102.09
disney,2023-02-17,105.22
disney,2023-02-16,105.83
disney,2023-02-15,109.24
disney,2023-02-14,107.66
disney,2023-02-13,107.66
disney,2023-02-10,108.06
disney,2023-02-09,110.36
disney,2023-02-08,111.78
disney,2023-02-07,111.63
disney,2023-02-06,109.87
disney,2023-02-03,110.71
disney,2023-02-02,113.21
disney,2023-02-01,109.39
disney,2023-01-31,108.49
disney,2023-01-30,107.59
disney,2023-01-27,109.54
disney,2023-01-26,109.7
disney,2023-01-25,108.12
disney,2023-01-24,106.0
disney,2023-01-23,105.69
disney,2023-01-20,103.48
disney,2023-01-19,99.08
disney,2023-01-18,99.04
disney,2023-01-17,99.91
disney,2023-01-13,99.4
disney,2023-01-12,99.81
disney,2023-01-11,96.33
disney,2023-01-10,95.56
disney,2023-01-09,94.77
disney,2023-01-06,93.92
disney,2023-01-05,91.92
disney,2023-01-04,91.98
disney,2023-01-03,88.97
